,genre_ids,title,poster_path,tmdb_id,popularity,keywords,vote_count,vote_average,director,imdb_votes,certificate,num_stunts,num_fx,year,month,group5,group4,group7,group6,group1,group3,group2
2789,"[10752, 28, 53]",The Sea Wolves,/4wv3LpQ14SDnKpFIxMZHn1MWqKv.jpg,19664.0,1.608555,"ambush,battle,naval,british intelligence",17.0,5.7,Andrew V. McLaglen,3051.0,PG,8.0,4.0,1980.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1373,"[10752, 18, 9648, 10749]",A Very Long Engagement,/jtE7Xrj8KKnhGI3p2yCgwrtUCnd.jpg,2841.0,2.003654,"paris,prostitute,loss of lover,amnesia,bodily disabled person,world war i,wheelchair,brittany,lighthouse,verdun,lighthouse keeper   ,teenage crush,disappearance,soldier,illegal prostitution,private detective,missing person,polio,trenches",281.0,7.0,Jean-Pierre Jeunet,64366.0,15,25.0,12.0,2004.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1252,"[10752, 35, 18]",Underground,/bnrLsunhGI5FO316sSThtAHikdV.jpg,11902.0,2.045152,"world war ii,lie,cellar,weapon,belgrad,widerstand",116.0,7.3,Emir Kusturica,46346.0,15,7.0,6.0,1995.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1559,"[10752, 18, 36, 10749]",Bitter Harvest,/lcjmS7uleSh2X0V7v7j7pWss115.jpg,403390.0,1.935513,"ukraine,ukrainian village,holodomor",10.0,7.6,George Mendeluk,1079.0,15,16.0,11.0,2017.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5372,"[10752, 18]",In Harm's Way,/suHNDmqn377UyO1DhXdxG2FbD6j.jpg,37921.0,1.246857,"pearl harbor,naval officer,admiral,second chance",20.0,6.4,Otto Preminger,6523.0,TV-14,8.0,1.0,1965.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4729,"[10752, 18]",Under Fire,/mvscM4MPbxTxfi66AwIYHfRY7PF.jpg,12503.0,1.300173,"wife husband relationship,1970s,revolution,war photographer,nicaragua",34.0,6.9,Roger Spottiswoode,5590.0,R,17.0,2.0,1983.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5186,"[10752, 18, 36]",Gettysburg,/xjpMfoPmo4bX8MEZPpWl8lBq6rx.jpg,10655.0,1.263057,"civil war,troops,independence day,army,battle,union soldier,confederate soldier,american civil war",74.0,6.6,Ron Maxwell,22562.0,PG,22.0,20.0,1993.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6106,"[36, 18]",Nova Zembla,/bIUNMCqQUsOxg9jKFZ6SbLmPkwy.jpg,79040.0,1.255933,"seefahrt,nordmeer,survival",19.0,5.4,Reinout Oerlemans,3570.0,12,6.0,10.0,2011.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4867,"[10752, 18, 10749]",Ship of Fools,/59GZljqMj9ivDIBGy08cAVk0orU.jpg,30080.0,1.287864,oscar award,14.0,5.5,Stanley Kramer,3954.0,A,2.0,1.0,1965.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4357,"[10752, 18, 36, 28, 10749]",Henry V,/9k34jK0UlAqcbPCgY3Ny7CMwXZL.jpg,10705.0,1.338448,"shakespeare,hero,kingdom,war,based on play,gritty,medieval,king of england",53.0,7.2,Kenneth Branagh,24206.0,PG-13,5.0,7.0,1989.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3053,"[36, 18]",The Dark Valley,/7jaM7oeqwC4PpqEyaJPteWSNGov.jpg,248933.0,1.559425,western,80.0,6.9,Andreas Prochaska,8479.0,15,4.0,3.0,2014.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4168,"[36, 18]",Mr. Turner,/uZkqc8bHT0XPQrCKZV8QAtmT4cI.jpg,245700.0,1.362837,painter,179.0,6.2,Mike Leigh,19772.0,12A,3.0,1.0,2014.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
826,"[10752, 18]",5 Days of War,/7hRpmThsUm68m1F8MNtxEKa4Irc.jpg,50601.0,2.550357,"journalist,interpreter,georgia europe,war zone",49.0,5.7,Renny Harlin,12382.0,15,27.0,10.0,2011.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2789,"[10752, 28, 53]",The Sea Wolves,/4wv3LpQ14SDnKpFIxMZHn1MWqKv.jpg,19664.0,1.608555,"ambush,battle,naval,british intelligence",17.0,5.7,Andrew V. McLaglen,3051.0,PG,8.0,4.0,1980.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4649,"[36, 10752, 28, 18]",Heaven & Earth,/hXSUatA39pbfwaqOGFHFdwswAXc.jpg,31642.0,1.31044,"vietnam,vietnam war,biography,dog,immigrant experience",43.0,6.3,Oliver Stone,11159.0,15,5.0,3.0,1993.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4919,"[10752, 18, 28, 10769]",Von Richthofen and Brown,/d691rGgc46Ac7JdaxmQ8Sp7e9DP.jpg,84285.0,1.2844,"world war i,aerial combat,fighter plane",4.0,6.5,Roger Corman,780.0,PG-13,4.0,3.0,1971.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1694,"[10752, 28, 18, 36]",The Heroes of Telemark,/9nAExxKTVYOox0nR9nwtIkVEKN7.jpg,16850.0,1.885579,"world war ii,saboteur,resistance fighter",23.0,5.8,Anthony Mann,5155.0,Approved,6.0,4.0,1965.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
